"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arlab151",,,,"User:","spuser"
"Cmdline:","dstat --time -v --net --output /flash/spark/pid_monitor/rundir/TERASORT/20150616-110610/data/raw/SIZE_GB=100.ITER=1.dstat.csv 5",,,,"Date:","16 Jun 2015 11:06:42 CDT"

"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"net/total",
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send"
16-06 11:06:42,0.000,0.0,0.591,21852717056.0,1340276736.0,2.05011812352e+11,8.68834476032e+11,0.0,0.0,1457249.745,1442479.137,1121.587,1002.425,0.024,0.014,99.957,0.001,0.002,0.001,0.0,0.0
16-06 11:06:47,353.600,0.0,1030.200,25912082432.0,1340932096.0,2.05014433792e+11,8.64771833856e+11,0.0,0.0,3276.800,391577.600,23241.400,128112.800,8.957,0.991,89.934,0.008,0.074,0.035,2739.800,852.600
16-06 11:06:52,132.600,0.0,739.800,59271741440.0,1342504960.0,2.05020397568e+11,8.31404638208e+11,0.0,0.0,79462.400,553779.200,50972.200,326565.600,29.246,2.798,67.617,0.047,0.190,0.103,13910.400,12920.0
16-06 11:06:57,22.400,0.200,65.0,1.18025617408e+11,1342898176.0,2.05024264192e+11,7.726465024e+11,0.0,0.0,1638.400,166297.600,66529.800,368144.0,39.392,4.972,55.057,0.010,0.308,0.261,61358.0,45341501.600
16-06 11:07:02,88.400,0.0,65.400,2.65017163776e+11,1343094784.0,2.05024329728e+11,6.25654693888e+11,0.0,0.0,0.0,130252.800,84065.400,115723.800,48.272,7.528,43.083,0.014,0.603,0.500,1614.600,494.600
16-06 11:07:07,19.400,0.0,76.600,2.96889745408e+11,1343160320.0,2.05024526336e+11,5.93781850112e+11,0.0,0.0,0.0,37683.200,85373.400,113527.800,48.356,6.342,44.290,0.001,0.534,0.476,2920.600,1337.0
16-06 11:07:12,0.800,0.0,60.0,2.97758818304e+11,1343225856.0,2.05024854016e+11,5.92912384e+11,0.0,0.0,819.200,110592.0,77631.800,110826.0,42.036,5.299,51.789,0.004,0.453,0.419,2862.200,1737.0
16-06 11:07:17,56.400,0.0,77.600,2.98356965376e+11,1343291392.0,2.05024985088e+11,5.9231404032e+11,0.0,0.0,819.200,238387.200,66533.600,87098.800,31.113,3.935,64.255,0.001,0.361,0.336,95747.200,50188065.400
16-06 11:07:22,33.800,0.0,80.0,2.98900979712e+11,1343356928.0,2.05025181696e+11,5.9176976384e+11,0.0,0.0,0.0,941260.800,173444.600,156076.400,46.438,8.126,43.771,0.012,0.756,0.898,1953276.400,935435564.200
16-06 11:07:27,25.600,0.0,23.800,3.00812664832e+11,1344471040.0,2.05025050624e+11,5.8985709568e+11,0.0,0.0,33587.200,629964.800,73218.800,86861.0,30.190,3.948,65.114,0.065,0.361,0.321,1535797.600,714526223.400
16-06 11:07:32,46.400,0.0,24.800,3.02917681152e+11,1344798720.0,2.06794326016e+11,5.85982476288e+11,0.0,0.0,1638.400,277708.800,127516.200,86461.200,47.245,6.517,45.093,0.003,0.601,0.542,1032699.800,442761910.800
16-06 11:07:37,23.400,0.0,16.600,3.06274828288e+11,1346240512.0,2.08015917056e+11,5.8140229632e+11,0.0,0.0,39321.600,139264.0,71939.400,107261.0,47.813,4.724,46.743,0.001,0.403,0.316,993515.0,633260529.400
16-06 11:07:42,19.600,0.0,28.600,3.09089271808e+11,1347158016.0,2.09724506112e+11,5.7687834624e+11,0.0,0.0,4915.200,285081.600,89253.200,123486.600,47.871,5.536,45.749,0.001,0.454,0.390,638383.400,517501812.200
16-06 11:07:47,20.0,0.0,19.0,3.23474161664e+11,1347944448.0,2.1185691648e+11,5.60360259584e+11,0.0,0.0,4096.0,302284.800,60948.0,62793.200,47.924,3.994,47.524,0.002,0.301,0.254,53539.200,3315091.400
16-06 11:07:52,57.400,0.0,16.800,3.41532082176e+11,1348993024.0,2.13993979904e+11,5.40164227072e+11,0.0,0.0,10649.600,691404.800,59176.200,93472.800,47.608,3.972,47.884,0.003,0.283,0.248,14660.0,2119.800
16-06 11:07:57,70.0,0.0,10.200,3.58202474496e+11,1349713920.0,2.15860445184e+11,5.21626648576e+11,0.0,0.0,4096.0,1023180.800,59387.400,81391.400,47.813,3.855,47.773,0.004,0.299,0.255,3999.800,1539.400
16-06 11:08:02,19.400,0.0,14.200,3.75914692608e+11,1350631424.0,2.17535676416e+11,5.02238281728e+11,0.0,0.0,23756.800,453954764.800,61762.200,84146.600,47.743,4.268,47.305,0.070,0.319,0.295,4113.400,1819.800
16-06 11:08:07,20.0,0.0,25.200,3.90478102528e+11,1351417856.0,2.192162816e+11,4.85993480192e+11,0.0,0.0,15564.800,444694528.0,63470.0,98587.600,48.009,4.450,46.877,0.047,0.336,0.279,3035.0,1550.200
16-06 11:08:12,19.400,0.200,19.200,3.92641445888e+11,1351942144.0,2.21274046464e+11,4.8177184768e+11,0.0,0.0,2457.600,65788313.600,62407.0,67184.600,48.094,3.925,47.380,0.025,0.313,0.262,3092.600,1814.600
16-06 11:08:17,44.800,0.0,21.800,3.97191544832e+11,1352597504.0,2.23331221504e+11,4.75163918336e+11,0.0,0.0,22937.600,379413299.200,60691.200,82785.0,47.714,4.158,47.494,0.068,0.302,0.265,2927.0,1523.400
16-06 11:08:22,43.400,0.0,14.400,3.99808528384e+11,1353056256.0,2.25333018624e+11,4.70544678912e+11,0.0,0.0,20480.0,431045836.800,60706.800,80287.400,48.056,3.950,47.327,0.101,0.298,0.268,3303.0,1765.0
16-06 11:08:27,88.400,0.0,18.400,4.02396348416e+11,1353449472.0,2.2727655424e+11,4.66012930048e+11,0.0,0.0,14745.600,449748992.0,61355.400,69053.800,47.988,4.025,47.349,0.071,0.302,0.265,2982.600,1912.400
16-06 11:08:32,19.400,0.0,16.0,4.0385314816e+11,1353777152.0,2.29020270592e+11,4.62812086272e+11,0.0,0.0,13926.400,393931161.600,62583.400,106764.200,47.839,4.136,47.393,0.045,0.311,0.276,3458.200,1775.800
16-06 11:08:37,14.800,0.0,14.600,4.04348534784e+11,1354104832.0,2.3099211776e+11,4.603445248e+11,0.0,0.0,15564.800,340928102.400,60972.0,71099.200,46.439,3.922,49.062,0.034,0.294,0.249,3878.600,1528.200
16-06 11:08:42,27.200,0.0,38.0,4.04879572992e+11,1354563584.0,2.32473362432e+11,4.58331783168e+11,0.0,0.0,14745.600,358045286.400,107947.800,111588.0,42.771,5.807,50.414,0.068,0.462,0.477,564596.600,322570294.800
16-06 11:08:47,36.800,0.0,22.400,4.04949499904e+11,1355022336.0,2.3459168256e+11,4.56143077376e+11,0.0,0.0,8192.0,172286771.200,81806.800,91974.400,47.911,4.836,46.497,0.012,0.381,0.364,819090.600,741227046.200
16-06 11:08:52,21.400,0.0,27.400,4.04994916352e+11,1355350016.0,2.36539346944e+11,4.54149668864e+11,0.0,0.0,13926.400,388588339.200,90400.600,98847.400,48.137,5.220,45.809,0.037,0.409,0.388,476706.400,554413577.0
16-06 11:08:57,20.400,0.0,25.800,4.05063204864e+11,1355677696.0,2.38181023744e+11,4.52439375872e+11,0.0,0.0,14745.600,487446937.600,102411.800,93388.200,47.963,5.873,45.153,0.076,0.465,0.471,872216.800,946516202.200
16-06 11:09:02,35.400,0.0,12.200,4.05351104512e+11,1356070912.0,2.4000561152e+11,4.50326495232e+11,0.0,0.0,14745.600,393076736.0,69507.200,71366.400,37.764,3.918,57.701,0.059,0.295,0.263,524098.600,599992013.200
16-06 11:09:07,50.0,0.0,11.200,4.072292352e+11,1356333056.0,2.40568303616e+11,4.47885410304e+11,0.0,0.0,19660.800,478895308.800,66532.0,66922.400,20.455,2.085,76.935,0.073,0.223,0.229,112639.200,1667355.600
16-06 11:09:12,33.200,0.0,0.800,4.0933523456e+11,1356464128.0,2.40568303616e+11,4.45779279872e+11,0.0,0.0,6553.600,255914803.200,179986.0,79782.0,46.981,2.951,48.956,0.014,0.478,0.621,108898111.0,355792330.200
16-06 11:09:17,48.0,0.0,26.0,4.09152323584e+11,1356660736.0,2.40961912832e+11,4.45568385024e+11,0.0,0.0,13926.400,449453260.800,65424.200,79902.200,48.334,2.841,48.218,0.127,0.291,0.189,157012.0,24307901.400
16-06 11:09:22,52.800,0.200,90.400,4.09646071808e+11,1356988416.0,2.46774104064e+11,4.39262117888e+11,0.0,0.0,13926.400,150688563.200,223413.600,197898.200,48.801,10.397,38.611,0.062,1.070,1.059,459026703.400,473504481.800
16-06 11:09:27,29.600,0.0,13.0,4.10835943424e+11,1357119488.0,2.5025609728e+11,4.34590121984e+11,0.0,0.0,6553.600,285541171.200,198759.800,158004.800,48.184,8.623,41.365,0.121,0.821,0.885,548444953.0,762007539.800
16-06 11:09:32,56.600,0.0,59.800,4.11091075072e+11,1357316096.0,2.53215309824e+11,4.31375581184e+11,0.0,0.0,13107.200,454417612.800,160264.400,163033.800,48.185,7.267,42.907,0.307,0.679,0.655,182555109.200,390865748.600
16-06 11:09:37,27.800,0.0,46.800,4.12054192128e+11,1357447168.0,2.58135949312e+11,4.25491693568e+11,0.0,0.0,7372.800,255877120.0,218203.400,195902.800,48.631,9.931,39.467,0.124,0.915,0.932,516029891.400,760486540.800
16-06 11:09:42,21.600,0.0,56.800,4.12653060096e+11,1357643776.0,2.6234945536e+11,4.20679122944e+11,0.0,0.0,13926.400,829849.600,202702.200,178007.200,49.035,8.895,40.423,0.002,0.819,0.826,446614682.400,568027406.400
16-06 11:09:47,60.400,0.0,47.600,4.13705043968e+11,1357840384.0,2.66589175808e+11,4.15387222016e+11,0.0,0.0,0.0,426803.200,207656.600,182935.0,48.627,9.552,40.060,0.002,0.881,0.878,485664866.0,736851173.0
16-06 11:09:52,21.200,0.400,54.400,4.14612062208e+11,1358036992.0,2.71248392192e+11,4.09820790784e+11,0.0,0.0,26214.400,557429555.200,210391.600,191336.0,48.585,9.413,39.861,0.405,0.872,0.864,504090291.600,593885144.400
